tweet_created_at,tweet_id,tweet_user_id,retweeted_status_id,in_reply_to_status_id,quoted_status_id
2016-09-06 09:59:05,773098184134561792,250365695,,,
2016-09-06 09:59:26,773098272189739008,4435320803,,,
2016-09-06 10:05:12,773099726526873600,3922876516,773098184134561792,,
2016-09-06 12:51:02,773141456924147712,250365695,,,
2016-09-06 12:58:04,773143228866449408,2428658977,773141456924147712,,
2016-09-20 12:01:57,778202536964751361,250365695,,,
2016-09-20 12:02:34,778202690950205440,250365695,,,
2016-09-20 12:03:30,778202924593909760,51679632,778202536964751361,,
2016-09-20 12:03:52,778203017514512384,250365695,,,
2016-09-20 12:08:21,778204144393936900,3143511569,778202690950205440,,
2016-09-20 12:09:02,778204316985425924,851177988,778203017514512384,,
2016-11-08 06:17:37,795872886443671552,587492762,,7.948087869303316e+17,
2016-11-08 06:25:59,795874993364201472,587492762,,7.958728864436716e+17,
2016-11-08 06:27:31,795875379714162692,587492762,,7.958749933642015e+17,
2016-11-08 06:30:15,795876066808229888,587492762,,7.958753797141627e+17,
2016-11-08 06:32:32,795876639213289472,770303925794643968,,,795876066808229888
2016-11-08 06:32:36,795876657324244992,4765966050,795876066808229888,,
2016-11-08 06:33:27,795876873301585920,233345828,795876639213289472,,795876066808229888
2016-11-08 06:44:59,795879773113303040,389281501,795875379714162692,,
2016-11-08 16:31:13,796027305269358593,587492762,,7.706370378588774e+17,
2016-11-08 16:34:17,796028075083493377,587492762,,,
2016-11-08 16:42:27,796030130921541633,587492762,,,795860152352129024
2016-11-11 13:09:38,797063738780250112,156763697,,,
2016-11-11 13:20:44,797066530177486852,2320140193,797063738780250112,,
2016-11-17 14:40:10,799260850011807745,250365695,773098272189739008,,
2016-11-17 14:43:14,799261620274864128,791115750274658308,,,773098272189739008
2016-11-17 16:50:33,799293660005330948,1482563324,773098272189739008,,
2016-11-17 23:01:35,799387033630285824,4435320803,799261620274864128,,773098272189739008
2016-11-18 22:28:18,799741045512642561,170575426,,,
