snopes,fake_news,s_pd,s_ftw,f_pd,f_ftw,f_n,id
http://www.snopes.com/woman-runs-husband-down-with-suv-because-he-voted-for-trump/,http://worldnewsdailyreport.com/woman-runs-over-her-husband-with-an-suv-after-learning-he-voted-for-trump/,11/17/16 03:37,11/17/16 03:48,11/14/16 18:19,11/15/16 03:52,38,52
http://www.snopes.com/john-podesta-spirit-cooking/,http://www.infowars.com/spirit-cooking-clinton-campaign-chairman-invited-to-bizarre-satanic-performance/,11/4/16 21:46,11/4/16 21:50,11/4/16 13:57,11/4/16 12:58,22576,53
http://www.snopes.com/pat-robertson-orlando-shooting/,http://www.newslo.com/pat-robertson-orlando-shooting-gods-punishment-scotus-sex-marriage-ruling/,6/12/16 21:34,6/12/16 21:39,6/12/16 13:36,6/12/16 18:09,4,54
http://www.snopes.com/three-million-votes-in-presidential-election-cast-by-illegal-aliens/,http://www.infowars.com/report-three-million-votes-in-presidential-election-cast-by-illegal-aliens/,11/17/16 00:34,11/17/16 00:41,11/14/16 13:22,11/14/16 13:24,14894,55
http://www.snopes.com/mike-pence-supported-gay-conversion-therapy/,http://nationalreport.net/michele-bachmann-prays-gay-conversion-therapy-help-husband/,10/26/16 23:23,10/26/16 23:39,7/14/16 15:29,7/14/16 15:29,7,56
http://www.snopes.com/2016/08/09/politics-sites-mismatched-clinton-rally-image-goes-viral/,http://www.infowars.com/media-photoshops-hillary-crowd-to-make-her-audience-look-bigger/,8/9/16 17:52,8/9/16 17:58,8/9/16 11:31,8/9/16 11:32,1566,57
http://www.snopes.com/police-shoot-department-store-mannequin-67-times-after-mistaking-it-for-gunman/,http://realnewsrightnow.com/2016/08/police-shoot-department-store-mannequin-67-times-mistaking-gunman/,8/16/16 19:13,8/16/16 19:17,8/15/16 09:26,8/15/16 13:27,126,58
http://www.snopes.com/mike-pence-condom-ban/,http://www.newslo.com/mike-pence-calls-ban-condoms-lead-abortions/,8/29/16 20:25,8/29/16 20:30,8/16/16 21:50,8/22/16 13:36,18,59
http://www.snopes.com/samsung-smartphones-truck-explodes/,http://worldnewsdailyreport.com/shipment-of-samsung-smartphones-explodes-during-transport-3-dead/,9/14/16 21:33,9/14/16 21:45,9/1/16 16:53,9/10/16 19:38,15,60
http://www.snopes.com/canada-legalizes-beastiality,http://www.infowars.com/canada-legalizes-oral-sex-with-pets/,6/10/16 23:29,6/11/16 00:20,6/10/16 17:49,6/10/16 17:50,269,61
http://www.snopes.com/2016/11/14/melania-sign-at-anti-trump-protest/,http://www.dcclothesline.com/2016/11/14/wheres-the-feminist-outrage-as-rapemelania-trends-on-twitter/,11/14/16 16:51,11/14/16 16:58,11/14/16 10:45,11/14/16 10:46,56,62
http://www.snopes.com/black-mob-beats-white-man-for-voting-trump/,http://www.infowars.com/shock-video-black-mob-viciously-beats-white-trump-voter/,11/10/16 20:32,11/10/16 20:43,11/10/16 12:16,11/10/16 12:09,12076,63
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,http://www.dcclothesline.com/2016/07/06/hacked-messages-of-blacklivesmatter-leader-reveal-obama-admins-plan-for-summer-of-chaos-and-martial-law/,7/8/16 22:39,7/8/16 22:44,7/6/16 11:08,7/6/16 09:09,1047,64
http://www.snopes.com/daughter-fertilizes-eggs-with-fathers-sperm/,http://worldnewsdailyreport.com/denmark-daughter-fertilizes-own-eggs-with-sperm-of-deceased-father/,10/17/16 06:57,10/17/16 07:09,10/8/16 12:09,10/16/16 20:07,1,65
http://www.snopes.com/isis-leader-supports-hillary/,http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,10/21/16 18:00,10/21/16 18:01,10/11/16 14:32,10/11/16 17:24,1439,66
http://www.snopes.com/flags-banned-at-dnc/,http://www.nowtheendbegins.com/flag-flown-democratic-convention-jihad-flag-palestine/,7/26/16 15:25,7/26/16 15:33,7/26/16 12:38,7/26/16 12:46,23,68
http://www.snopes.com/black-lives-matter-protesters-chant-for-dead-cops-now-in-baton-rouge/,http://www.infowars.com/black-lives-matter-supporters-islamists-celebrate-murder-of-baton-rouge-cops/,7/18/16 18:01,7/18/16 18:02,7/17/16 17:34,7/17/16 16:36,5977,69
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/top-doctor-concerns-over-hillarys-health-not-a-conspiracy-theory/,9/11/16 00:10,9/11/16 00:17,8/22/16 14:02,8/22/16 13:43,4062,70
http://www.snopes.com/debate-secret-hand-signals/,http://www.infowars.com/world-champion-poker-player-clinton-secretly-signaled-moderator-during-debate/,9/28/16 22:12,9/28/16 22:31,9/28/16 19:31,9/28/16 19:34,349,71
http://www.snopes.com/human-sacrifice-captured-at-cern/,http://worldtruth.tv/murder-at-cern-disturbing-human-sacrifice-video-surfaces/,8/17/16 18:58,8/17/16 19:00,8/12/16 12:46,8/12/16 16:46,9,72
http://www.snopes.com/alicia-machado-adult-star/,http://www.infowars.com/hillarys-new-anti-trump-poster-child-is-a-porn-star-accused-of-driving-a-murder-getaway-vehicle-threatening-to-kill-a-judge/,9/28/16 18:32,9/28/16 18:42,9/28/16 12:28,9/28/16 12:31,2126,73
http://www.snopes.com/hunter-nearly-killed-by-brutal-sexual-assault-from-moose/,http://worldnewsdailyreport.com/hunter-nearly-killed-by-brutal-sexual-assault-from-1200-lbs-moose/,11/16/16 18:26,11/16/16 18:28,11/7/16 14:54,11/16/16 02:58,13,74
http://www.snopes.com/hillary-clinton-had-drunken-meltdown-after-losing-the-election/,http://www.infowars.com/report-hillary-became-physically-violent-after-she-realized-she-had-lost-the-election/,11/16/16 06:12,11/16/16 06:16,11/15/16 12:04,11/15/16 12:00,6839,67
