snopes,fake_news,is_matched
http://www.snopes.com/ted-cruz-run-as-democrat/,http://politicops.com/cruz-something-happens-hillary-agree-run-democrat-trump/,t
http://www.snopes.com/medical/disease/flushot.asp,http://www.realfarmacy.com/johns-hopkins-scientist-reveals-shocking-report-flu-vaccines/,t
http://www.snopes.com/ted-nugent-kaepernick-chimp/,http://politicops.com/ted-nugent-dont-get-chimp-gets-invoke-human-rights/,t
http://www.snopes.com/stone-age-tunnels/,http://www.infowars.com/european-network-of-stone-age-tunnels-that-weaves-from-scotland-to-turkey/,t
http://www.snopes.com/media/notnews/facebookguns.asp,http://empirenews.net/facebook-submits-names-of-users-posing-in-pictures-with-guns-to-homeland-security/,t
http://www.snopes.com/politics/satire/bushvote.asp,http://dailycurrant.com/2012/11/06/george-bush-accidently-votes-obama/,t
http://www.snopes.com/temple-of-baal-in-new-york-city/,http://www.nowtheendbegins.com/new-york-city-will-recreate-the-temple-of-baal-in-times-square-april/,t
http://www.snopes.com/media/notnews/sharkselfie.asp,http://worldnewsdailyreport.com/man-takes-selfie-moments-before-deadly-shark-attack/,t
http://www.snopes.com/photos/military/lambeau.asp,http://www.thespoof.com/spoof-news/sport/104054/super-bowl-controversy-national-anthem-will-be-replaced-with-a-dodge-ad,t
http://www.snopes.com/fukushima-radiation-causes-100-infant-mortality-among-orca-whales/,http://humansarefree.com/2016/09/radiation-from-fukushima-now-causes-100.html,t
http://www.snopes.com/politics/religion/armyturban.asp,http://americannews.com/muslims-demand-army-change-its-dress-code-to-include-turbans-and-beards/,t
http://www.snopes.com/pat-robertson-boycott-hillary/,http://politicops.com/pat-robertson-husbands-need-boycott-intercourse-wives-theyre-planning-vote-hillary/,t
http://www.snopes.com/mcdonalds-employee-smuggles-mcnuggets/,http://worldnewsdailyreport.com/mcdonalds-employee-accused-of-smuggling-80-lbs-of-mcnuggets-in-his-anal-cavity/,t
http://www.snopes.com/media/notnews/snowmageddon.asp,http://empirenews.net/meteorologists-predict-record-shattering-snowfalls-coming-soon-bread-milk-prices-expected-to-soar/,t
http://www.snopes.com/mother-sues-hospital-after-son-turns-gay-from-flu-shot/,http://worldnewsdailyreport.com/mother-sues-hospital-after-son-turns-gay-after-vaccine-shot/,t
http://www.snopes.com/leaked-e-mail-clinton-foundation-john-oliver/,http://www.infowars.com/exclusive-leaked-email-shows-clinton-foundation-in-communication-with-comedian-john-oliver/,t
http://www.snopes.com/hillary-calls-voters-bucket-of-losers/,http://www.infowars.com/hillary-calls-her-own-supporters-a-bucket-of-losers/,t
http://www.snopes.com/monica-lewinsky-voting-for-hillary-clinton/,http://empirenews.net/monica-lewinsky-says-she-is-voting-for-hillary-clinton/,t
http://www.snopes.com/politics/satire/ryanwaiter.asp,http://dailycurrant.com/2013/04/08/paul-ryan-refuses-tip-elderly-black-waiter/,t
http://www.snopes.com/police-shoot-coal-miner/,http://worldnewsdailyreport.com/kentucky-police-shoot-white-coal-miner-5-times-thinking-he-was-black/,t
http://www.snopes.com/mike-pence-calls-michelle-obama-vulgar/,http://politicops.com/rubio-doesnt-object-to-obamas-replacement-of-scalia-ill-get-rid-of-scotus-anyway/,u
http://www.snopes.com/mike-pence-calls-michelle-obama-vulgar/,http://politicops.com/pence-michelle-obama-vulgar-first-lady-weve-ever/,t
http://www.snopes.com/politics/conspiracy/malaysia.asp,http://nodisinfo.com/michael-jackson-hoax-gurney-photo/,u
http://www.snopes.com/politics/conspiracy/malaysia.asp,http://nodisinfo.com/jews-allowed-malaysian-airlines-flight-mh-370/,u
http://www.snopes.com/politics/conspiracy/malaysia.asp,http://nodisinfo.com/mossad-blow-malaysian-airlines-jet/,t
http://www.snopes.com/daughter-fertilizes-eggs-with-fathers-sperm/,http://worldnewsdailyreport.com/denmark-daughter-fertilizes-own-eggs-with-sperm-of-deceased-father/,t
http://www.snopes.com/scientists-recreate-trex/,http://worldnewsdailyreport.com/scientists-successfully-recreate-tyrannosaurus-rex-embryo-from-chicken-dna/,t
http://www.snopes.com/rupaul-claims-trump-touched-him/,http://worldnewsdailyreport.com/rupaul-claims-trump-touched-him-inappropriately-in-the-1990s/,t
http://www.snopes.com/media/notnews/huntingpermit.asp,http://nationalreport.net/federal-government-restrict-hunting-setting-minimum-age-21/,t
http://www.snopes.com/inboxer/hoaxes/paulwalker.asp,http://nodisinfo.com/home/30227/,u
http://www.snopes.com/televangelist-threatens-civil-war/,http://politicops.com/copeland-whoever-doesnt-vote-trump-will-guilty-civil-war-planned/,t
http://www.snopes.com/isis-leader-supports-hillary/,http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,t
http://www.snopes.com/media/notnews/buzzaldrin.asp,https://www.huzlers.com/buzz-aldrin-admits-apollo-11-moon-landings-fake-simply-set-see-tweet/,t
http://www.snopes.com/eric-braverman-seeks-asylum-in-russia/,http://beforeitsnews.com/press-releases/2016/10/clinton-foundation-ceo-eric-braverman-seeks-asylum-at-russian-consulate-3015296.html,t
http://www.snopes.com/sweden-bans-christmas-lights/,http://www.infowars.com/sweden-bans-christmas-street-lights-to-avoid-offending-muslim-migrants/,t
http://www.snopes.com/media/notnews/palinmexico.asp,http://dailycurrant.com/2014/11/20/sarah-palin-send-immigrants-back-across-ocean-to-mexico/,t
http://www.snopes.com/life-expectancy-in-the-united-states-declining-thanks-to-obamacare/,http://www.naturalnews.com/054857_rigged_elections_fake_media_fairy_tales.html,u
http://www.snopes.com/life-expectancy-in-the-united-states-declining-thanks-to-obamacare/,http://www.naturalnews.com/055860_Americans_life_expectancy_plummeting_health.html,t
http://www.snopes.com/politics/satire/applebees.asp,http://www.duffelblog.com/2013/11/applebees-declares-bankruptcy-offering-free-alcohol-veterans-day/,t
http://www.snopes.com/politics/satire/palin370.asp,http://dailycurrant.com/2014/03/20/palin-wonders-if-flight-370-flew-directly-to-heaven-2/,t
http://www.snopes.com/military-absentee-ballots-clinton/,http://www.duffelblog.com/2016/11/military-absentee-ballots/,t
http://www.snopes.com/hunter-nearly-killed-by-brutal-sexual-assault-from-moose/,http://worldnewsdailyreport.com/hunter-nearly-killed-by-brutal-sexual-assault-from-1200-lbs-moose/,t
http://www.snopes.com/woman-runs-husband-down-with-suv-because-he-voted-for-trump/,http://worldnewsdailyreport.com/woman-runs-over-her-husband-with-an-suv-after-learning-he-voted-for-trump/,t
http://www.snopes.com/trump-to-repurpose-uss-enterprise-into-floating-hotel-and-casino/,http://www.duffelblog.com/2016/11/trump-to-repurpose-uss-enterprise-to-uss-trump-hotel-and-casino/,t
http://www.snopes.com/woman-develops-iq-of-220-after-drinking-sperm-every-day-for-a-year/,http://worldnewsdailyreport.com/woman-develops-iq-of-220-after-drinking-sperm-everyday-for-a-year/,t
http://www.snopes.com/edward-snowden-said-russia-successfully-rigged-u-s-elections-in-favor-of-trump/,http://worldnewsdailyreport.com/snowden-russia-successfully-rigged-us-elections-in-favor-of-trump/,t
http://www.snopes.com/media/notnews/miraclewitness.asp,http://worldnewsdailyreport.com/newly-found-document-holds-eyewitness-account-of-jesus-performing-miracle/,t
http://www.snopes.com/media/notnews/elfonshelf.asp,http://www.duffelblog.com/2014/12/elf-on-a-shelf-snowden/,t
http://www.snopes.com/fines-for-bringing-supplies-to-standing-rock-dapl-protests/,http://www.activistpost.com/2016/11/sheriffs-dept-fine-people-1k-bringing-food-supplies-standing-rock.html,t
http://www.snopes.com/politics/satire/leatherprotest.asp,http://www.thespoof.com/spoof-news/us/66233/three-reported-missing-after-animal-rights-activists-take-war-on-leather-to-motorcycle-gang-rally,t
http://www.snopes.com/sarah-palin-calls-boycott-mall-america-santa-always-white-bible/,http://politicops.com/palin-calls-boycott-mall-america-santa-always-white-bible/,t
http://www.snopes.com/trump-bringing-back-draft/,http://realnewsrightnow.com/2016/04/trump-on-revamping-the-military-were-bringing-back-the-draft/,t
http://www.snopes.com/donald-trumps-intelligence-quotient/,http://beforeitsnews.com/opinion-conservative/2015/08/donald-trump-is-a-genius-but-thats-just-his-iq-3038790.html,t
http://www.snopes.com/black-homeless-woman-says-trump-allowed-live-trump-tower-rent-free/,http://www.infowars.com/black-homeless-woman-says-trump-allowed-her-to-live-in-trump-tower-rent-free-for-8-years/,t
http://www.snopes.com/politics/satire/trayvonpainting.asp,http://www.thenewsnerd.com/local/george-zimmerman-sells-trayvon-martin/,t
http://www.snopes.com/media/notnews/giantcoverup.asp,http://worldnewsdailyreport.com/smithsonian-admits-to-destruction-of-thousands-of-giant-human-skeletons-in-early-1900s/,t
http://www.snopes.com/media/notnews/giantcoverup.asp,http://www.coasttocoastam.com/show/2008/12/03,u
http://www.snopes.com/politics/religion/muslimnurses.asp,http://theuspatriot.com/2014/04/15/muslim-nurses-refuse-to-wash-hands-before-operations-say-it-compromises-________/,t
http://www.snopes.com/buzz-aldrin-tweeted-we-are-all-in-danger-it-is-evil-itself/,http://beforeitsnews.com/conspiracy-theories/2016/12/a-mysterious-tweet-by-astronaut-buzz-aldrin-2478714.html,t
http://www.snopes.com/santas-phone-number/,http://nationalreport.net/mall-santa-arrested-reason-will-shock/,t
http://www.snopes.com/fda-outlaws-cbd-oils/,http://www.naturalnews.com/053369_CBD_hemp_oil_extract_FDA_regulations.html,t
http://www.snopes.com/fda-outlaws-cbd-oils/,http://www.naturalnews.com/040828_vaccines_government_lies_scandal.html,u
http://www.snopes.com/dylann-roof-john-christian-graas/,http://beforeitsnews.com/alternative/2015/06/charleston-shooter-is-actor-us-marine-crisis-actor-as-jade-helm-stipulates-video-3174050.html,t
http://www.snopes.com/john-kasich-said-we-cant-entrust-abortion-decision-to-women/,http://politicops.com/kasich-woman-not-intelligent-enough-keep-legs-closed-can-entrust-abortion-decision/,t
http://www.snopes.com/religion/wellhell.asp,http://weeklyworldnews.com/headlines/3060/oil-drill-opens-hole-into-hell/,u
http://www.snopes.com/experimental-nazi-missile-aimed-at-u-s/,http://worldnewsdailyreport.com/rocket-launched-in-space-by-nazis-in-1944-expected-to-hit-the-usa-next-week/,t
http://www.snopes.com/elector-suicide/,http://worldnewsdailyreport.com/electoral-college-elector-commits-suicide-to-avoid-voting-for-donald-trump/,t
http://www.snopes.com/water-fluoridation-reduces-iq/,http://www.infowars.com/who-admits-omitting-fluorides-damaging-health-effects-to-prevent-controversy/,t
http://www.snopes.com/did-donald-trump-appoint-sarah-palin-as-a-science-advisor/,http://worldnewsdailyreport.com/sarah-palin-appointed-as-science-and-technology-adviser-promises-to-get-rid-of-climate-change-hysteria/,t
