fact_checking_canonical,claim_canonical,is_matched
http://www.snopes.com/canada-legalizes-beastiality,http://www.infowars.com/canada-legalizes-oral-sex-with-pets/,t
http://www.snopes.com/cheez-it-tbhq/,http://www.naturalnews.com/031318_TBHQ_food_preservatives.html,t
http://www.snopes.com/chelsea-clinton-george-soros-nephew/,http://gulagbound.com/1746/chelsea-clinton-wedding-tents-go-up-at-astor-courts/,f
http://www.snopes.com/chemotherapy-doctor-blows-the-whistle/,http://www.realfarmacy.com/chemotherapy-not-cancer/,t
http://www.snopes.com/chemotherapy-doctor-blows-the-whistle/,http://worldtruth.tv/chemotherapy-is-not-the-answer-to-cancer/,t
http://www.snopes.com/chobani-ceo-importing-300-muslim-refugees-per-month/,http://www.infowars.com/idaho-sex-assault-child-victim-trapped-as-refugee-assailant-still-lives-next-door/,f
http://www.snopes.com/clinton-byrd-photo-klan/,http://www.infowars.com/hillary-slams-kkk-trump-but-her-friend-and-mentor-was-kkk-member-robert-byrd/,t
http://www.snopes.com/clinton-compliant-citizenry/,http://www.infowars.com/clinton-campaign-email-outlines-effort-to-produce-an-unaware-and-compliant-citizenry/,t
http://www.snopes.com/clinton-four-minute-nuclear/,http://www.infowars.com/video-obama-says-trump-dangerous-for-talking-about-rigged-system/,f
http://www.snopes.com/clinton-newsweek-cover/,http://www.infowars.com/did-newsweek-already-print-a-special-madam-president-hillary-edition/,t
http://www.snopes.com/clinton-secret-earpiece-debate/,http://www.infowars.com/was-hillary-wearing-an-earpiece-during-last-nights-presidential-forum/,t
http://www.snopes.com/cnn-same-refugee-girl/,http://21stcenturywire.com/2016/10/18/crisis-extras-are-syrias-white-helmets-recycling-their-barrel-bomb-victims/,t
http://www.snopes.com/comey-clinton-foundation/,http://www.redflagnews.com/headlines-2016/exposed-fbi-director-james-comeys-clinton-foundation-connection,t
http://www.snopes.com/craigslist-ad-trump-rally/,http://www.infowars.com/anti-trump-protesters-go-crazy/,u
http://www.snopes.com/dearborn-michigan-pro-isis-rally/,http://nationalreport.net/city-michigan-first-fully-implement-sharia-law/,u
http://www.snopes.com/deceased-fbi-agent-found-at-trump-tower-with-silenced-pistol/,http://beforeitsnews.com/conspiracy-theories/2016/08/trump-averts-assassination-2476524.html,t
http://www.snopes.com/defcon-warning-level-escalated-to-3/,http://www.infowars.com/kremlin-insider-war-might-begin-even-before-u-s-elections/,u
http://www.snopes.com/defcon-warning-level-escalated-to-3/,http://beforeitsnews.com/opinion-liberal/2016/06/trouble-u-s-sets-defcon-3-2531061.html,t
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,http://www.dcclothesline.com/2016/07/06/hacked-messages-of-blacklivesmatter-leader-reveal-obama-admins-plan-for-summer-of-chaos-and-martial-law/,t
http://www.snopes.com/did-macys-pull-support-from-planned-parenthood/,http://www.infowars.com/macys-no-longer-supports-planned-parenthood/,t
http://www.snopes.com/dnc-hiring-actors-via-craigslist-to-replace-delegates/,http://www.infowars.com/bernie-delegate-dnc-is-replacing-sanders-supporters-with-paid-seat-fillers-to-create-fake-unity/,t
http://www.snopes.com/dnc-walkout-leads-to-hundreds-of-empty-seats/,http://www.infowars.com/bernie-delegate-dnc-is-replacing-sanders-supporters-with-paid-seat-fillers-to-create-fake-unity/,u
http://www.snopes.com/donald-trump-ex-wives-abortions/,http://chronicle.su/2015/08/08/donald-trumps-ex-wives-speak-out-on-forced-abortions/,t
http://www.snopes.com/donald-trump-grandfather-prostitution/,http://www.veteranstoday.com/2016/10/27/trumps-grandfather-was-a-pimp-and-tax-evader-his-father-a-member-of-the-kkk/,t
http://www.snopes.com/donald-trumps-intelligence-quotient/,http://beforeitsnews.com/opinion-conservative/2015/08/donald-trump-is-a-genius-but-thats-just-his-iq-3038790.html,t
http://www.snopes.com/driverless-uber-runs-red-light/,http://www.infowars.com/facebook-empowers-far-left-group-to-bury-fake-news/,f
http://www.snopes.com/edward-snowden-said-russia-successfully-rigged-u-s-elections-in-favor-of-trump/,http://worldnewsdailyreport.com/snowden-russia-successfully-rigged-us-elections-in-favor-of-trump/,t
http://www.snopes.com/fbi-agent-murder-suicide/,http://worldtruth.tv/fbi-agent-suspected-in-hillary-email-leaks-found-dead-in-apparent-murder-suicide/,t
http://www.snopes.com/fbi-agent-murder-suicide/,http://hillary-emails.beforeitsnews.com/press-releases/2016/11/fbi-agent-and-his-wife-found-dead-after-he-was-suspected-of-leaking-hillary-emails-3020729.html,t
http://www.snopes.com/flags-banned-at-dnc/,http://www.nowtheendbegins.com/flag-flown-democratic-convention-jihad-flag-palestine/,t
http://www.snopes.com/food/tainted/pringlescancer.asp,http://www.realfarmacy.com/cancer-in-a-can-the-shocking-true-story-of-how-pringles-are-made/,t
http://www.snopes.com/food/tainted/roundupwheat.asp,http://www.realfarmacy.com/reason-toxic-wheat/,t
http://www.snopes.com/george-soros-bring-down-us/,http://www.hangthebankers.com/george-soros-admits-to-funding-the-ukraine-crisis/,u
http://www.snopes.com/george-soros-bringing-down-us/,http://beforeitsnews.com/alternative/2013/10/george-soros-the-seven-steps-to-bring-down-govt-and-collapse-a-currency-2790098.html,t
http://www.snopes.com/george-soros-ss-nazi-germany/,http://www.infowars.com/snopes-fact-checker-accused-of-fraud-for-prostitute-embezzlement-scheme/,f
http://www.snopes.com/george-soros-ss-nazi-germany/,http://www.nowtheendbegins.com/proof-george-soros-nazi-past-finally-comes-light-discovery-forgotten-interview/,t
http://www.snopes.com/government-to-microchip-citizens/,http://www.activistpost.com/2016/12/house-passes-bill-allowing-government-microchip-citizens-mental-disabilities.html,t
http://www.snopes.com/guccifer-missing-from-jail-cell/,http://beforeitsnews.com/opinion-conservative/2016/07/breaking-romanian-hacker-guccifer-w-access-to-clinton-emails-found-dead-in-jail-cell-3158703.html,t
http://www.snopes.com/guccifer-missing-from-jail-cell/,http://www.activistpost.com/2016/01/the-clinton-foundation-hillary-beholden-to-banks-corporations-and-foreign-governments.html,u
http://www.snopes.com/guccifer-missing-from-jail-cell/,http://beforeitsnews.com/conspiracy-theories/2016/07/breaking-romanian-hacker-with-access-to-clinton-emails-found-dead-in-jail-cell-2476141.html,t
http://www.snopes.com/hillary-clinton-bought-137-million-worth-of-illegal-arms/,http://www.globalresearch.ca/clinton-foundation-donors-got-weapons-deals-from-hillary-clintons-state-department/5498517,u
http://www.snopes.com/hillary-clinton-freed-child-rapist-laughed-about-it/,http://www.naturalnews.com/055514_Danney_Williams_Bill_Clinton_father.html,u
http://www.snopes.com/hillary-clinton-freed-child-rapist-laughed-about-it/,https://www.intellihub.com/video-hillary-clinton-brags-getting-pedophile-off-hook/,t
http://www.snopes.com/hillary-clinton-had-drunken-meltdown-after-losing-the-election/,http://www.infowars.com/report-hillary-became-physically-violent-after-she-realized-she-had-lost-the-election/,t
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/hillary-clinton-has-parkinsons-disease-doctor-says/,t
http://www.snopes.com/hillary-clinton-medical-records-leaked/,http://www.redflagnews.com/headlines-2016/breaking-hillary-surrenders-admits-shocking-brain-injury-disability-dems-panic,t
http://www.snopes.com/hillary-clinton-secret-earpiece/,http://www.infowars.com/was-hillary-wearing-an-earpiece-during-last-nights-presidential-forum/,t
http://www.snopes.com/hillary-clinton-seizure-video/,http://www.infowars.com/video-bizarre-hillary-behavior-caught-on-camera/,t
http://www.snopes.com/hillary-clinton-stupid-quote/,http://www.infowars.com/clinton-campaign-email-outlines-effort-to-produce-an-unaware-and-compliant-citizenry/,u
http://www.snopes.com/hillary-clinton-used-model-from-syphilis-psa/,http://www.thedailysheeple.com/im-with-her-clueless-hillary-supporters-just-hired-bearded-hipster-from-syphilis-ads-as-their-new-pitchman_052016,t
http://www.snopes.com/hillary-clinton-was-responsible-for-the-waco-massacre/,http://www.infowars.com/search-page/,f
http://www.snopes.com/history/american/lincoln-kennedy.asp,http://www.clickhole.com/article/coincidence-similarities-between-kennedy-and-linco-1750,t
http://www.snopes.com/iceland-debt-forgiveness/,http://worldtruth.tv/iceland-forgives-entire-population-its-debt-total-us-media-blackout/,t
http://www.snopes.com/info/news/sandyhoax.asp,http://www.veteranstoday.com/2015/05/01/sandy-hook-redux-obama-officials-confirm-that-it-was-a-drill-and-no-children-died/,t
http://www.snopes.com/info/news/sandyhoax.asp,http://www.infowars.com/fbi-says-no-one-killed-at-sandy-hook/,t
http://www.snopes.com/irish-slaves-early-america/,http://www.globalresearch.ca/the-irish-slave-trade-the-forgotten-white-slaves/31076,t
http://www.snopes.com/is-green-party-candidate-jill-stein-anti-vaccine/,http://www.geoengineeringwatch.org/geoengineering-watch-global-alert-news-july-16-2016/,u
http://www.snopes.com/isis-leader-supports-hillary/,http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,t
http://www.snopes.com/islam-banned-u-s-1952/,http://beforeitsnews.com/alternative/2015/12/islam-was-banned-from-the-usa-in-1952-but-youre-not-supposed-to-know-it-3254732.html,t
http://www.snopes.com/jill-stein-endorsed-donald-trump/,http://www.infowars.com/green-party-candidate-jill-stein-says-hillary-clinton-could-be-worse-than-donald-trump/,t
http://www.snopes.com/jill-stein-endorsed-donald-trump/,http://www.infowars.com/jill-stein-agrees-with-trump-hillary-clinton-presidency-means-nuclear-war-a-mushroom-cloud-waiting-to-happen/,t
http://www.snopes.com/john-podesta-spirit-cooking/,http://www.infowars.com/art-depicting-cannibalism-hangs-in-podestas-campaign-office/,u
http://www.snopes.com/john-podesta-spirit-cooking/,http://www.infowars.com/spirit-cooking-clinton-campaign-chairman-invited-to-bizarre-satanic-performance/,t
http://www.snopes.com/john-podesta-spirit-cooking/,http://www.infowars.com/bombshell-hillary-clintons-satanic-network-exposed/,t
http://www.snopes.com/justin-trudeau-kiss-thomas-mulcair/,http://worldnewsdailyreport.com/canadian-prime-minister-and-opposition-leader-share-kiss-to-denounce-orlando-massacre/,t
http://www.snopes.com/khizr-khan-375000-clinton-foundation/,http://www.govtslaves.info/375000-deposited-to-the-khan-law-account-from-the-clinton-foundation/,t
http://www.snopes.com/loretta-lynch-pleads-fifth-over-iran-payment/,http://www.dcclothesline.com/2016/11/04/spirit-cooking-wikileaks-reveals-clinton-campaign-manager-member-of-weirdo-sex-cult-2/,f
http://www.snopes.com/machine-voting-pens-switching-votes/,https://www.intellihub.com/soros-linked-voting-machines-illegally-deployed/,u
http://www.snopes.com/man-charged-driving-influence-caffeine/,http://naturalnews.com/2016-12-30-walking-children-home-from-school-driving-influence-caffeine-felony-crimes-dui.html,t
http://www.snopes.com/media/notnews/arizonatea.asp,https://www.huzlers.com/arizona-tea-exposed-by-fda-for-using-human-urine-in-products-will-be-taken-of-shelves-2/,t
http://www.snopes.com/media/notnews/ativan.asp,http://gomerblog.com/2015/03/ativan-diffuser/,t
http://www.snopes.com/media/notnews/beaniebabyspiders.asp,http://www.clickhole.com/article/90s-kids-rejoice-spider-eggs-they-used-fill-beanie-1209,t
http://www.snopes.com/media/notnews/clintonchild.asp,http://worldnewsdailyreport.com/16-year-old-girl-claims-former-president-bill-clinton-is-her-father/,t
http://www.snopes.com/media/notnews/giantcoverup.asp,http://beforeitsnews.com/beyond-science/2015/02/the-great-smithsonian-cover-up-18-giant-skeletons-discovered-in-wisconsin-2448696.html,u
http://www.snopes.com/media/notnews/kfcmarijuana.asp,http://worldtruth.tv/kfc-is-now-licensed-to-sell-marijuana-in-canada/,t
http://www.snopes.com/media/notnews/marilyn.asp,http://worldnewsdailyreport.com/retired-cia-agent-confesses-on-deathbed-i-killed-marilyn-monroe/,t
http://www.snopes.com/media/notnews/miraclewitness.asp,http://worldnewsdailyreport.com/newly-found-document-holds-eyewitness-account-of-jesus-performing-miracle/,t
http://www.snopes.com/media/notnews/vikingship.asp,http://worldnewsdailyreport.com/usa-viking-ship-discovered-near-mississipi-river/,t
http://www.snopes.com/media/notnews/yokohillary.asp,http://worldnewsdailyreport.com/yoko-ono-i-had-an-affair-with-hillary-clinton-in-the-70s/,t
http://www.snopes.com/media/notnews/yokohillary.asp,http://www.dcclothesline.com/2016/06/12/longtime-mistress-says-bill-clinton-had-2000-sex-partners-hillary-is-a-lesbian-it-was-a-marriage-of-convenience/,u
http://www.snopes.com/medical/disease/cdcwhistleblower.asp,http://www.naturalnews.com/051837_Donald_Trump_autism_MMR_vaccine.html,u
http://www.snopes.com/michael-moore-endorsed-donald-trump/,http://www.infowars.com/google-truth-police-to-be-run-by-cat-lady/,f
http://www.snopes.com/michael-savage-removed/,http://www.infowars.com/emergency-hillary-globalists-shutting-down-opposition-media/,t
http://www.snopes.com/michael-savage-removed/,http://www.infowars.com/savage-nation-sounds-the-alarm-on-censorship/,t
http://www.snopes.com/mike-pence-supported-gay-conversion-therapy/,http://nationalreport.net/michele-bachmann-prays-gay-conversion-therapy-help-husband/,t
http://www.snopes.com/muslims-in-japan/,http://www.infowars.com/islamic-terrorism-why-there-is-none-in-japan/,t
http://www.snopes.com/muslim-woman-sworn-new-york-city-civil-judge/,http://TheRundownLive.com/protesters-hate-israeli-state/,f
http://www.snopes.com/muslim-woman-sworn-new-york-city-civil-judge/,http://www.infowars.com/obama-has-major-stutter-breakdown-while-trying-to-slam-trump/,f
http://www.snopes.com/muslim-woman-sworn-new-york-city-civil-judge/,http://infowars.com/at-the-open-u-s-markets-decline-after-disastrous-jobs-data/,f
http://www.snopes.com/nancy-reagan-hillary-clinton/,http://nationalreport.net/nancy-reagan-want-hillary-win/,t
http://www.snopes.com/neil-degrasse-tyson-girl-on-jupiter/,http://www.clickhole.com/article/awesome-when-little-girl-told-neil-degrasse-tyson--3565,t
http://www.snopes.com/newsweek-proves-that-wikileaks-is-leaking-phony-hillary-clinton-emails/,http://www.infowars.com/podesta15-wikileaks-releases-latest-batch-of-emails-from-clinton-campaign-chair/,u
http://www.snopes.com/newsweek-proves-that-wikileaks-is-leaking-phony-hillary-clinton-emails/,http://www.dcclothesline.com/2016/10/22/wikileaks-hillary-took-12-million-for-clinton-foundation-from-country-she-declared-human-rights-violators/,u
http://www.snopes.com/obama-encouraged-illegal-aliens-to-vote/,http://www.infowars.com/video-president-obama-encourages-illegal-immigrants-to-vote/,t
http://www.snopes.com/obama-executive-order-military-citizens/,http://beforeitsnews.com/war-and-conflict/2016/07/ultimate-destabilization-united-nations-agenda-activated-race-wars-civil-wars-riots-planned-u-s-mass-casualties-2462018.html,t
http://www.snopes.com/obama-veterans-money-to-syria/,http://www.redflagnews.com/headlines-2016/obama-cuts-26-billion-from-veterans-while-allocating-45-billion-to-syrian-migrants-moving-to-america,t
http://www.snopes.com/orlando-shooters-father-clinton/,http://21stcenturywire.com/2016/06/15/father-of-orlando-shooter-is-long-time-cia-asset/,t
http://www.snopes.com/pat-robertson-orlando-shooting/,http://www.newslo.com/pat-robertson-orlando-shooting-gods-punishment-scotus-sex-marriage-ruling/,t
http://www.snopes.com/paul-ryans-wife-is-a-liberal-who-voted-twice-for-obama/,http://www.dcclothesline.com/2016/10/15/the-liberal-in-bed-with-paul-ryan/,u
http://www.snopes.com/photos/technology/fallout.asp,http://www.naturalnews.com/052415_Fukushima_bluefin_tuna_radiation.html,t
http://www.snopes.com/pizzagate-conspiracy/,http://www.naturalnews.com/2016-12-25-snopes-fact-checkers-actual-whores-david-mikkelson-elyssa-young-presstitutes-fraud.html,f
http://www.snopes.com/pizzagate-conspiracy/,http://www.dcclothesline.com/2016/12/03/there-is-more-to-pizzagate-than-meets-the-eye/,t
http://www.snopes.com/pizzagate-conspiracy/,http://beforeitsnews.com/alternative/2016/11/barack-obamas-connection-to-pizzagate-his-lust-for-hotdogs-pizzagate-wikileaks-3442419.html,t
http://www.snopes.com/pledge-of-allegiance-ban/,http://www.politicalears.com/breaking-obama-signs-executive-order-banning-pledge-allegiance-schools-nationwide/,t
http://www.snopes.com/police-horse-kicks-blm-protester/,http://worldnewsdailyreport.com/woman-runs-over-her-husband-with-an-suv-after-learning-he-voted-for-trump/,u
http://www.snopes.com/police-shoot-department-store-mannequin-67-times-after-mistaking-it-for-gunman/,http://realnewsrightnow.com/2016/08/police-shoot-department-store-mannequin-67-times-mistaking-gunman/,t
http://www.snopes.com/politics/business/sorosferguson.asp,http://www.infowars.com/leaked-list-shows-ferguson-protesters-paid-by-soros-front-group/,t
http://www.snopes.com/politics/clintons/bodycount.asp,http://www.dcclothesline.com/2012/12/08/did-obamas-publishers-make-a-mistake-or-is-it-a-cover-up/,f
http://www.snopes.com/politics/clintons/mezvinsky.asp,http://gulagbound.com/1746/chelsea-clinton-wedding-tents-go-up-at-astor-courts/,u
http://www.snopes.com/politics/clintons/zeifman.asp,http://www.redflagnews.com/headlines/1974-diary-surfaces-hillary-fired-for-lying-unethical-behavior-on-watergate-committee,t
http://www.snopes.com/POLITICS/clintons/zeifman.asp,http://www.infowars.com/flashback-hillary-clinton-fired-from-watergate-investigation-for-lying-unethical-behavior/,t
http://www.snopes.com/politics/conspiracy/mlktrial.asp,http://www.globalresearch.ca/court-decision-u-s-government-agencies-found-guilty-in-martin-luther-kings-assassination/5320024,t
http://www.snopes.com/politics/crime/newsom.asp,http://www.infowars.com/report-three-syrian-refugees-rape-little-girl-at-knifepoint-in-idaho/,f
http://www.snopes.com/politics/guns/newtown.asp,http://www.veteranstoday.com/2015/05/01/sandy-hook-redux-obama-officials-confirm-that-it-was-a-drill-and-no-children-died/,t
http://www.snopes.com/politics/guns/newtown.asp,http://www.infowars.com/fbi-says-no-one-killed-at-sandy-hook/,t
http://www.snopes.com/politics/guns/newtown.asp,http://www.activistpost.com/2015/12/33-unanswered-questions-on-sandy-hooks-3rd-anniversary.html,t
http://www.snopes.com/politics/medical/pepsi.asp,http://beforeitsnews.com/conspiracy-theories/2013/07/comprehensive-list-of-companies-that-uses-aborted-fetal-cells-as-flavor-2452716.html,t
http://www.snopes.com/politics/obama/50lies.asp,http://beforeitsnews.com/opinion-conservative/2013/10/obamas-sealed-documents-why-ask-this-simple-question-why-2737324.html,t
http://www.snopes.com/politics/obama/birthers/birthcertificate.asp,http://www.govtslaves.info/obamas-lawyers-officially-admit-birth-certificate-fake/,t
http://www.snopes.com/politics/quotes/jarrettislam.asp,http://beforeitsnews.com/alternative/2015/10/valerie-jarrett-1977-stanford-year-book-3224912.html,t
http://www.snopes.com/politics/religion/holocaust.asp,http://americannews.com/schools-are-dropping-the-holocaust-from-history-lessons-to-avoid-offending-muslims/,t
http://www.snopes.com/politics/satire/coulter.asp,http://dailycurrant.com/2013/01/29/ann-coulter-refuses-board-airplane-black-pilot/,t
http://www.snopes.com/politics/satire/sharia.asp,http://nationalreport.net/city-michigan-first-fully-implement-sharia-law/,t
http://www.snopes.com/president-obama-takes-a-knee-during-national-anthem/,http://nationalreport.net/obama-takes-a-knee-during-national-anthem/,t
http://www.snopes.com/putin-issues-arrest-warrant-for-george-soros/,http://worldnewsdailyreport.com/woman-runs-over-her-husband-with-an-suv-after-learning-he-voted-for-trump/,f
