tweet_created_at,tweet_id,tweet_user_id,retweeted_status_id,in_reply_to_status_id,quoted_status_id
2017-02-18 20:19:49,833048393886883842,92645190,,,
2017-02-18 20:20:36,833048594945019904,14792049,,,
2017-02-18 20:20:56,833048678428508160,109980164,833048594945019904,,
2017-02-18 20:21:13,833048748909408256,733467210996318208,833048594945019904,,
2017-02-18 20:21:28,833048810091745280,44959505,,,
2017-02-18 20:21:38,833048851233792000,264861120,833048594945019904,,
2017-02-18 20:21:51,833048905470320640,1424137214,833048594945019904,,
2017-02-18 20:22:05,833048967931916289,166603532,833048810091745280,,
2017-02-18 20:22:16,833049011410128896,291774022,,,
2017-02-18 20:22:33,833049082730012672,3592477283,833048594945019904,,
2017-02-18 20:23:05,833049216440229888,89592667,833048594945019904,,
2017-02-18 20:23:48,833049396359131136,194116324,833048594945019904,,
2017-02-18 20:24:12,833049498440056833,444283883,833048810091745280,,
2017-02-18 20:24:40,833049615146635265,708309848,833048594945019904,,
2017-02-18 20:24:46,833049641788792832,40606788,833049011410128896,,
2017-02-18 20:25:00,833049701960265728,4883488983,833048594945019904,,
2017-02-18 20:25:04,833049715650469888,382370203,833048810091745280,,
2017-02-18 20:25:22,833049793760985088,55388467,833048594945019904,,
2017-02-18 20:26:37,833050106119204864,18748937,833048594945019904,,
2017-02-18 20:26:38,833050110770761729,81664859,,,
2017-02-18 20:26:53,833050173446246400,26413411,833048594945019904,,
2017-02-18 20:26:55,833050182711394305,2730359051,833048594945019904,,
2017-02-18 20:27:28,833050322117414912,342944096,833048594945019904,,
2017-02-18 20:28:05,833050478099431429,3316104034,833048594945019904,,
2017-02-18 20:28:41,833050629207531520,817453551102267392,,,833048594945019904
2017-02-18 20:28:44,833050638028308480,2670926180,833048594945019904,,
2017-02-18 20:29:29,833050828139327488,2533382713,833048594945019904,,
2017-02-18 20:29:44,833050891691376641,21517033,,,
2017-02-18 20:29:55,833050936822095872,21517033,,,832083554121216000
2017-02-18 20:30:08,833050992111452161,72552866,,,
